,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
63,B039-G101,10.40779167,41.34725,0.22,290.65,3,-0.2078,0.0783,-0.8,0.2,-244.9,0.5,56.6,3
64,B042-G104,10.42370833,41.12394444,0.24,233.57,3.3,-0.1965,-0.145,-0.9,0.2,-294.6,0.6,6.6,3.1
65,B044-G107,10.42879167,41.33505556,0.2,288.98,2.8,-0.1921,0.0661,-0.8,0.2,-271.7,0.5,29.8,3
66,B343-G105,10.42958333,40.20622222,1.08,190.38,14.7,-0.1948,-1.0629,-1.6,0.2,-356,13.8,-56.1,14.1
67,B045-G108,10.429625,41.57230556,0.36,327.84,4.9,-0.1907,0.3033,-0.9,0.2,-425.3,0.4,-123.5,3
68,B046-G109,10.43583333,41.77436111,0.54,339.84,7.3,-0.1855,0.5054,-1.1,0.2,-351.3,7.4,-49.3,8
69,B048-G110,10.43970833,41.22516667,0.19,256.61,2.6,-0.1842,-0.0439,-0.8,0.2,-228.1,0.5,73.2,3
70,B047-G111,10.43983333,41.70113889,0.47,337.08,6.4,-0.1827,0.4321,-1.6,0.2,-294.8,9.2,7.1,9.7
71,B050-G113,10.44283333,41.53852778,0.32,326.12,4.4,-0.181,0.2695,-0.8,0.2,-110.2,0.4,191.5,3
72,B051-G114,10.44458333,41.42197222,0.24,310.36,3.2,-0.18,0.1529,-0.8,0.2,-262.4,0.5,39.1,3
73,B054-G115,10.44866667,41.01536111,0.31,215.06,4.2,-0.178,-0.2537,-0.2,0.2,-397.2,7.5,-96.2,8.1
74,B055-G116,10.45995833,41.20344444,0.18,248.78,2.5,-0.169,-0.0656,-0.1,0.2,-312,0.5,-10.8,3
75,B254,10.46041667,41.27386111,0.17,271.63,2.3,-0.1685,0.0048,-0.9,0.2,-421,12.3,-119.7,12.7
76,B056-G117,10.46316667,40.96116667,0.35,208.5,4.8,-0.1672,-0.3079,0,0.2,-359.8,0.4,-58.9,3
77,B057-G118,10.47008333,40.86808333,0.43,202.02,5.9,-0.1622,-0.401,-2.1,0.3,-424.7,0.8,-124,3.1
78,B058-G119,10.47083333,40.78602778,0.51,198.52,6.9,-0.1618,-0.4831,-1.1,0.2,-220.5,0.8,80.1,3.1
79,B059-G120,10.47545833,41.18352778,0.18,241.47,2.4,-0.1574,-0.0856,-1,0.2,-262.7,0.7,38.5,3.1
80,B060-G121,10.48754167,41.08736111,0.23,219.25,3.2,-0.1485,-0.1817,-1.8,0.2,-536.3,0.6,-235.3,3.1
81,B061-G122,10.50058333,41.49325,0.26,328.41,3.6,-0.1378,0.2241,-0.7,0.2,-275.2,5.4,26.3,6.2
82,B063-G124,10.50366667,41.48597222,0.26,327.99,3.5,-0.1355,0.2168,-0.8,0.2,-305.7,0.5,-4.2,3
83,B064-G125,10.50804167,41.18541667,0.16,237.78,2.1,-0.1329,-0.0837,-1.3,0.2,-293.5,0.5,7.6,3
84,B065-G126,10.50804167,40.67030556,0.61,192.6,8.4,-0.1339,-0.5989,-0.9,0.2,-408.6,0.6,-108.2,3.1
85,B344-G127,10.512375,41.86727778,0.61,347.9,8.3,-0.1282,0.5982,-1,0.2,-240.6,6.4,61.4,7.1
86,B067-G129,10.51329167,41.07325,0.23,213.39,3.2,-0.1291,-0.1959,-1.4,0.2,-334.8,0.7,-33.9,3.1
87,B068-G130,10.513375,40.98061111,0.32,204.13,4.3,-0.1293,-0.2885,-0.2,0.2,-321.2,0.4,-20.4,3
88,B257-V219,10.51366667,40.97052778,0.33,203.37,4.4,-0.1291,-0.2986,-0.2,0.2,-479.8,0.7,-179,3.1
